"provinces","election_units","candidates","n_ballots","percentage"
"TIỀN GIANG","Gồm thị xã Gò Công và các huyện: Chợ Gạo, Gò Công Tây, Gò Công Đông, Tân Phú Đông","Ông Nguyễn Trọng Nghĩa","392072","77.88"
"TIỀN GIANG","Gồm thị xã Gò Công và các huyện: Chợ Gạo, Gò Công Tây, Gò Công Đông, Tân Phú Đông","Ông Tạ Minh Tâm","303003","60.18"
"TIỀN GIANG","Gồm thị xã Gò Công và các huyện: Chợ Gạo, Gò Công Tây, Gò Công Đông, Tân Phú Đông","Ông Lê Quang Trí","296243","58.84"
"TIỀN GIANG","Gồm thị xã Gò Công và các huyện: Chợ Gạo, Gò Công Tây, Gò Công Đông, Tân Phú Đông","Bà Đặng Thị Ngọc Điệp","284411","56.49"
"TIỀN GIANG","Gồm thị xã Gò Công và các huyện: Chợ Gạo, Gò Công Tây, Gò Công Đông, Tân Phú Đông","Bà Lê Thanh Lan","225549","44.80"
"TRÀ VINH","Gồm thành phố Trà Vinh và các huyện: Càng Long, Cầu Kè, Tiểu Cần","Ông Ngô Chí Cường","271948","78.08"
"TRÀ VINH","Gồm thành phố Trà Vinh và các huyện: Càng Long, Cầu Kè, Tiểu Cần","Ông Thạch Phước Bình","202329","58.09"
"TRÀ VINH","Gồm thành phố Trà Vinh và các huyện: Càng Long, Cầu Kè, Tiểu Cần","Bà Tăng Thị Ngọc Mai","197957","56.84"
"TRÀ VINH","Gồm thành phố Trà Vinh và các huyện: Càng Long, Cầu Kè, Tiểu Cần","Ông Lê Văn Hồng Anh","197231","56.63"
"TRÀ VINH","Gồm thành phố Trà Vinh và các huyện: Càng Long, Cầu Kè, Tiểu Cần","Ông Sa Văn Khiêm","168175","48.28"
"TRÀ VINH","Gồm thị xã Duyên Hải và các huyện: Châu Thành, Cầu Ngang, Trà Cú, Duyên Hải","Ông Nguyễn Thiện Nhân","364988","84.87"
"TRÀ VINH","Gồm thị xã Duyên Hải và các huyện: Châu Thành, Cầu Ngang, Trà Cú, Duyên Hải","Ông Hứa Văn Nghĩa","264822","61.58"
"TRÀ VINH","Gồm thị xã Duyên Hải và các huyện: Châu Thành, Cầu Ngang, Trà Cú, Duyên Hải","Bà Trần Thị Huyền Trân","235479","54.76"
"TRÀ VINH","Gồm thị xã Duyên Hải và các huyện: Châu Thành, Cầu Ngang, Trà Cú, Duyên Hải","Bà Thạch Thị Thu Hà","218924","50.91"
"TRÀ VINH","Gồm thị xã Duyên Hải và các huyện: Châu Thành, Cầu Ngang, Trà Cú, Duyên Hải","Bà Trần Thị Hải Yến","196309","45.65"
"TUYÊN QUANG","Gồm các huyện: Na Hang, Lâm Bình và Chiêm Hóa","Ông Chẩu Văn Lâm","123936","82.42"
"TUYÊN QUANG","Gồm các huyện: Na Hang, Lâm Bình và Chiêm Hóa","Bà Hứa Thị Hà","98766","65.68"
"TUYÊN QUANG","Gồm các huyện: Na Hang, Lâm Bình và Chiêm Hóa","Ông Nguyễn Khánh Tịnh","38373","25.52"
"TUYÊN QUANG","Gồm các huyện: Na Hang, Lâm Bình và Chiêm Hóa","Ông Nguyễn Xuân Yên","38315","25.48"
"TUYÊN QUANG","Gồm các huyện: Hàm Yên và Yên Sơn","Ông Hoàng Bình Quân","149747","74"
"TUYÊN QUANG","Gồm các huyện: Hàm Yên và Yên Sơn","Bà Ma Thị Thúy","116468","57.55"
"TUYÊN QUANG","Gồm các huyện: Hàm Yên và Yên Sơn","Bà Nguyễn Thị Hoài Yên","71956","35.56"
"TUYÊN QUANG","Gồm các huyện: Hàm Yên và Yên Sơn","Ông Đào Quang Uy","64166","31.71"
"TUYÊN QUANG","Gồm thành phố Tuyên Quang và huyện Sơn Dương","Ông Đỗ Văn Chiến","167240","79.83"
"TUYÊN QUANG","Gồm thành phố Tuyên Quang và huyện Sơn Dương","Bà Âu Thị Mai","131731","62.88"
"TUYÊN QUANG","Gồm thành phố Tuyên Quang và huyện Sơn Dương","Bà Vi Thị Nghiệp","64347","30.72"
"TUYÊN QUANG","Gồm thành phố Tuyên Quang và huyện Sơn Dương","Bà Ma Thị Thao","52501","25.06"
"VĨNH LONG","Gồm thành phố Vĩnh Long và các huyện: Long Hồ, Mang Thít, Tam Bình","Bà Đặng Thị Ngọc Thịnh","368540","82.80"
"VĨNH LONG","Gồm thành phố Vĩnh Long và các huyện: Long Hồ, Mang Thít, Tam Bình","Bà Nguyễn Thị Quyên Thanh","282623","63.49"
"VĨNH LONG","Gồm thành phố Vĩnh Long và các huyện: Long Hồ, Mang Thít, Tam Bình","Ông Lưu Thành Công","264840","59.50"
"VĨNH LONG","Gồm thành phố Vĩnh Long và các huyện: Long Hồ, Mang Thít, Tam Bình","Ông Nguyễn Văn Bé Hai","233463","52.45"
"VĨNH LONG","Gồm thành phố Vĩnh Long và các huyện: Long Hồ, Mang Thít, Tam Bình","Bà Lý Kiều Diễm","173378","38.95"
"VĨNH LONG","Gồm thị xã Bình Minh và các huyện: Bình Tân, Trà Ôn, ","Ông Trần Văn Rón","275782","75.17"
"VĨNH LONG","Gồm thị xã Bình Minh và các huyện: Bình Tân, Trà Ôn, ","Ông Phạm Tất Thắng","260422","70.99"
"VĨNH LONG","Gồm thị xã Bình Minh và các huyện: Bình Tân, Trà Ôn, ","Bà Nguyễn Thị Minh Trang","236381","64.43"
"VĨNH LONG","Gồm thị xã Bình Minh và các huyện: Bình Tân, Trà Ôn, ","Ông Lê Đức Vĩnh Tuyên","204315","55.69"
"VĨNH LONG","Gồm thị xã Bình Minh và các huyện: Bình Tân, Trà Ôn, ","Bà Sơn Thị Gandhi","114672","31.26"
"VĨNH PHÚC","Gồm thành phố Vĩnh Yên, Thị xã Phúc Yên, các huyện: Vĩnh Tường, Yên Lạc","Bà Hoàng Thị Thúy Lan","355013","87.91"
"VĨNH PHÚC","Gồm thành phố Vĩnh Yên, Thị xã Phúc Yên, các huyện: Vĩnh Tường, Yên Lạc","Ông Trần Văn Tiến","294311","72.88"
"VĨNH PHÚC","Gồm thành phố Vĩnh Yên, Thị xã Phúc Yên, các huyện: Vĩnh Tường, Yên Lạc","Bà Phùng Thị Thường","206504","51.14"
"VĨNH PHÚC","Gồm thành phố Vĩnh Yên, Thị xã Phúc Yên, các huyện: Vĩnh Tường, Yên Lạc","Ông Nguyễn Văn Long","180111","44.60"
"VĨNH PHÚC","Gồm thành phố Vĩnh Yên, Thị xã Phúc Yên, các huyện: Vĩnh Tường, Yên Lạc","Bà Nguyễn Thị Xuân Mai","159357","39.46"
"VĨNH PHÚC","Gồm các huyện: Bình Xuyên, Tam Dương, Tam Đảo, Lập Thạch và Sông Lô","Ông Lưu Đức Long","314288","80.99"
"VĨNH PHÚC","Gồm các huyện: Bình Xuyên, Tam Dương, Tam Đảo, Lập Thạch và Sông Lô","Ông Trần Hồng Hà","309924","79.87"
"VĨNH PHÚC","Gồm các huyện: Bình Xuyên, Tam Dương, Tam Đảo, Lập Thạch và Sông Lô","Bà Lê Thị Nguyệt","255754","65.91"
"VĨNH PHÚC","Gồm các huyện: Bình Xuyên, Tam Dương, Tam Đảo, Lập Thạch và Sông Lô","Bà Ngô Thị Linh","137055","35.32"
"VĨNH PHÚC","Gồm các huyện: Bình Xuyên, Tam Dương, Tam Đảo, Lập Thạch và Sông Lô","Bà Đào Thị Tâm","120476","31.05"
"YÊN BÁI","Gồm thành phố Yên Bái và các huyện: Yên Bình, Trấn Yên, Lục Yên","Ông Giàng A Chu","260532","88.66"
"YÊN BÁI","Gồm thành phố Yên Bái và các huyện: Yên Bình, Trấn Yên, Lục Yên","Ông Dương Văn Thống","250722","85.33"
"YÊN BÁI","Gồm thành phố Yên Bái và các huyện: Yên Bình, Trấn Yên, Lục Yên","Bà Nguyễn Thị Vân","228063","77.61"
"YÊN BÁI","Gồm thành phố Yên Bái và các huyện: Yên Bình, Trấn Yên, Lục Yên","Bà Nguyễn Thị Ngà","67478","22.96"
"YÊN BÁI","Gồm thành phố Yên Bái và các huyện: Yên Bình, Trấn Yên, Lục Yên","Bà Phạm Thị Tâm","65679","22.35"
"YÊN BÁI","Gồm thị xã Nghĩa Lộ và các huyện: Văn Chấn, Trạm Tấu, Mù Cang Chải, Văn Yên","Ông Trần Quốc Vượng","248249","94.18"
"YÊN BÁI","Gồm thị xã Nghĩa Lộ và các huyện: Văn Chấn, Trạm Tấu, Mù Cang Chải, Văn Yên","Ông Đinh Đăng Luận","237937","90.27"
"YÊN BÁI","Gồm thị xã Nghĩa Lộ và các huyện: Văn Chấn, Trạm Tấu, Mù Cang Chải, Văn Yên","Bà Triệu Thị Huyền","228041","86.52"
"YÊN BÁI","Gồm thị xã Nghĩa Lộ và các huyện: Văn Chấn, Trạm Tấu, Mù Cang Chải, Văn Yên","Bà Đặng Thị Tâm","35136","13.33"
"YÊN BÁI","Gồm thị xã Nghĩa Lộ và các huyện: Văn Chấn, Trạm Tấu, Mù Cang Chải, Văn Yên","Bà Bàn Thị Khách","33888","12.86"
